T1,T2,T4,M01,VA,D2A,Ds,YseB
87.0,82.56,80.83,93.59,350.0,437.0,1509.0,0.14
87.0,83.19,81.43,95.22,444.0,424.0,1496.0,0.17
88.0,82.64,80.87,93.21,341.0,428.0,1488.0,0.14
84.0,82.18,80.67,90.92,425.0,366.0,1496.0,0.13
85.0,82.47,80.74,91.45,475.0,371.0,1488.0,0.19
84.0,82.71,80.99,91.79,439.0,373.0,1487.0,0.17
85.0,82.65,81.0,91.46,422.0,375.0,1493.0,0.13
87.0,82.94,81.45,92.72,335.0,432.0,1486.0,0.12
86.0,83.25,81.98,92.29,430.0,390.0,1490.0,0.19
83.0,82.19,81.18,90.54,416.0,374.0,1494.0,0.18
84.0,82.18,80.87,89.84,538.0,344.0,1488.0,0.16
84.0,82.38,81.29,90.14,357.0,345.0,1516.0,0.14
86.0,82.78,81.45,91.69,355.0,404.0,1503.0,0.23
86.0,83.04,81.73,92.82,409.0,415.0,1494.0,0.12
84.0,82.74,81.69,90.36,401.0,369.0,1491.0,0.18
84.0,82.51,81.53,91.31,418.0,365.0,1494.0,0.19
85.0,82.44,81.53,89.31,480.0,368.0,1475.0,0.16
84.0,82.5,81.39,88.78,452.0,331.0,1489.0,0.13
86.0,82.82,81.33,90.14,542.0,308.0,1496.0,0.12
84.0,82.5,81.48,91.79,358.0,352.0,1511.0,0.13
84.0,82.48,80.87,90.61,492.0,335.0,1488.0,0.14
82.0,82.37,80.95,89.11,587.0,314.0,1489.0,0.14
84.0,82.08,80.96,90.26,460.0,336.0,1493.0,0.17
83.0,82.27,80.94,88.19,531.0,360.0,1481.0,0.17
86.0,82.44,81.25,91.75,452.0,365.0,1490.0,0.14
86.0,82.52,81.47,91.24,476.0,335.0,1473.0,0.19
84.0,82.26,81.24,92.66,400.0,343.0,1499.0,0.17
85.0,82.56,80.88,93.11,391.0,409.0,1501.0,0.14
86.0,82.45,81.03,93.21,389.0,401.0,1486.0,0.18
86.0,82.8,81.62,90.38,406.0,341.0,1485.0,0.14
86.0,82.83,81.44,91.01,364.0,366.0,1503.0,0.13
