DpB,T1,T3,T4,P,M01,Ds,YuntB
242.0,86.0,82.03,81.25,321.29,91.75,1490.0,0.17
242.0,86.0,82.09,81.47,324.31,91.24,1473.0,0.17
245.0,84.0,81.88,81.24,316.43,92.66,1499.0,0.16
271.0,85.0,82.23,80.88,314.99,93.11,1501.0,0.18
275.0,86.0,82.09,81.03,315.0,93.21,1486.0,0.17
228.0,86.0,82.41,81.62,318.48,90.38,1485.0,0.16
237.0,86.0,82.51,81.44,315.06,91.01,1503.0,0.17
262.0,85.0,82.04,81.23,314.05,91.89,1488.0,0.17
248.0,85.0,81.95,80.64,323.38,88.92,1495.0,0.17
238.0,87.0,81.96,81.43,319.37,88.7,1498.0,0.17
219.0,88.0,82.0,81.39,319.32,89.58,1482.0,0.16
228.0,88.0,82.1,81.55,322.35,88.86,1492.0,0.17
248.0,88.0,82.18,81.14,319.75,88.83,1495.0,0.18
241.0,88.0,82.35,81.5,319.33,91.14,1483.0,0.17
234.0,86.0,82.31,81.55,315.22,92.06,1492.0,0.17
226.0,87.0,82.25,81.41,318.11,90.8,1493.0,0.16
259.0,87.0,82.2,81.06,318.06,91.29,1495.0,0.17
223.0,87.0,82.76,80.6,323.34,87.81,1498.0,0.17
240.0,87.0,82.9,81.34,319.96,90.53,1496.0,0.18
236.0,87.0,82.07,80.87,319.85,86.85,1490.0,0.17
258.0,90.0,82.06,80.42,317.66,86.57,1479.0,0.17
168.0,86.0,82.34,81.14,326.74,85.32,1485.0,0.19
266.0,92.0,82.35,81.09,319.78,86.54,1500.0,0.17
272.0,86.0,82.58,81.18,319.51,87.68,1495.0,0.16
265.0,89.0,81.97,80.42,318.64,89.65,1496.0,0.16
270.0,88.0,81.79,80.19,319.99,89.57,1502.0,0.18
258.0,87.0,81.58,80.39,327.58,87.48,1491.0,0.18
245.0,85.0,80.99,79.88,330.3,84.86,1483.0,0.17
233.0,92.0,82.45,80.98,323.88,88.85,1493.0,0.18
261.0,89.0,82.23,80.83,319.75,87.7,1498.0,0.17
242.0,87.0,81.58,80.28,321.21,86.27,1486.0,0.18
246.0,90.0,82.24,80.69,324.26,85.77,1496.0,0.19
223.0,87.0,82.13,80.7,324.86,89.87,1489.0,0.17
143.0,86.0,82.14,81.04,329.34,86.81,1500.0,0.19
244.0,89.0,82.42,80.63,321.53,91.4,1499.0,0.17
254.0,89.0,82.13,80.58,325.01,87.93,1489.0,0.17
234.0,88.0,82.28,80.82,323.0,86.07,1499.0,0.17
154.0,88.0,82.23,80.84,322.42,87.14,1503.0,0.2
261.0,89.0,82.67,80.62,312.29,86.53,1489.0,0.17
240.0,88.0,82.82,81.3,317.38,89.93,1500.0,0.17
255.0,85.0,80.92,81.24,317.03,86.24,1495.0,0.18
