D1,DS1,DSF,DpA,DpB,T1,T2,T3,T4,deltaT,P,M01,M02,VA,VB,D2A,D2B,Ds,TS1,SF,D3A,D3B,DS2A,DS2B,POA,POB,TsA,TsB,SFA,SFB,DgA,YseA,YsynA,YuntA,CaoA,DgB,YseB,YsynB,YuntB,CaoB,Ym,CaO,R
,1566.0,53.0,135.5,127.0,80.0,81.17999999999999,80.56,79.58500000000001,2.1602499999999996,344.2125,89.0,99.95,656.875,700.5,,,,,,,31.750000000000007,,,,,,,,,,,,,,94.5,,,,,,,
,1566.0,53.0,135.5,127.0,78.0,81.17999999999999,80.56,79.58500000000001,0.392,344.2125,96.49,99.95,656.875,700.5,,,,,,,31.750000000000007,,,,,,,,,,,,,,94.5,,,,,,,
,1566.0,53.0,135.5,131.0,81.0,81.17999999999999,80.56,79.58500000000001,0.418,344.2125,94.53,99.95,656.875,700.5,,,,,,,31.750000000000007,,,,,,,,,,,,,,94.5,,,,,,,
,1566.0,53.0,135.5,127.0,76.0,81.17999999999999,80.56,79.58500000000001,0.697,344.2125,97.94,99.95,656.875,700.5,,,,,,,31.750000000000007,,,,,,,,,,,,,,94.5,,,,,,,
,1566.0,53.0,135.5,127.0,72.0,81.17999999999999,80.56,79.58500000000001,,344.2125,69.76000000000002,87.85,656.875,700.5,,,,,,,31.750000000000007,,,,,,,,,,,,,,,,,,,,,
166.0,1566.0,65.0,135.5,127.0,74.0,81.17999999999999,80.56,79.58500000000001,2.03,344.2125,80.43,47.38,607.0,653.0,294.0,279.0,,,,45.04125,41.27,,,,,,,,,97.0,,,,,94.5,,,,,,,
137.0,1670.0,66.0,135.5,127.0,77.0,82.87,82.55,79.92,2.1602499999999996,331.18,79.86,36.05,615.0,700.5,277.0,275.5,1480.0,36.7,28.7,45.04125,114.42,1218.5,,24.99,24.45,0.87,0.48,29.4,30.87,120.0,,,,,94.5,,,,,,,
185.0,1661.0,87.0,190.0,175.0,77.0,82.86,82.6,80.39,2.1602499999999996,323.39,80.47,44.94,528.0,645.0,355.0,348.0,1475.0,36.5,24.11874999999999,51.72,31.750000000000007,1223.0,1230.0,24.99,24.45,0.87,0.48,29.4,30.87,126.0,,,,,129.0,,,,,,,
197.0,1631.0,94.0,196.0,229.0,77.0,82.54,82.31,81.44,0.879,316.24,83.86,42.98,296.0,425.0,333.0,344.0,1486.0,33.39,30.57,102.1,38.91,1240.0,1238.0,24.99,24.45,0.87,0.48,29.4,30.87,122.0,,,,,123.0,,,,,,,
260.0,1566.0,77.0,163.0,235.0,77.0,81.58,80.56,79.77,1.914,344.2125,80.1,68.49,553.0,608.0,323.0,339.0,1488.0,33.79,27.93,98.69,66.2,1250.0,1237.0,,,,,,,110.0,,,,,120.0,,,,,,,
193.0,1566.0,59.0,135.5,193.0,72.0,81.17999999999999,80.56,79.58500000000001,2.069,344.2125,79.8,92.85,456.0,558.0,335.0,312.0,1481.0,31.76,27.29,56.38,64.19,1238.0,1236.0,25.02,24.63,0.89,0.79,30.87,30.38,115.0,,,,,121.0,,,,,,,
217.0,1625.0,99.0,189.0,293.0,76.0,82.94,82.72,81.26,1.463,326.19,82.61,91.97,304.0,392.0,407.0,401.0,1456.0,30.48,37.14875000000001,84.3,80.2,1235.0,1229.0,25.02,24.63,0.89,0.79,30.87,30.38,129.0,0.13,0.64,0.19,32.46,131.0,0.12,0.63,0.21,32.53,0.96,32.5,94.98
251.0,1609.0,110.0,200.0,300.0,81.0,82.96,82.69,80.82,1.872,316.57,79.86,73.3,531.0,604.0,405.0,399.0,1471.0,31.86,29.79,89.18,73.64,1235.0,1234.0,25.02,24.63,0.89,0.79,30.87,30.38,133.0,,,,,137.0,,,,,,,
184.0,1635.0,80.0,152.0,297.0,76.0,82.03,81.34,80.25,1.082,344.2125,79.32,62.04,362.0,365.0,337.0,379.0,,,,86.45,66.59,,,24.22,24.13,0.89,0.72,29.89,30.38,112.0,0.23500000000000001,0.6,0.2,32.56,114.0,0.23500000000000001,0.59,0.2,32.51,1.0274999999999999,32.54,94.66499999999998
174.0,1642.0,85.0,135.5,276.0,75.0,82.5,80.56,80.46,0.731,319.02,83.49,69.08,569.0,522.0,320.0,367.0,,,,102.3,64.61,,,24.22,24.13,0.89,0.72,29.89,30.38,113.0,0.13,0.63,0.21,32.59,118.0,0.12,0.64,0.2,32.59,0.965,32.59,94.97
186.0,1641.0,87.0,194.0,272.0,75.0,82.95,80.56,81.07,0.775,323.04,83.6,54.61,599.0,613.0,361.0,380.0,,,,63.47,75.29,,,24.22,24.13,0.89,0.72,29.89,30.38,121.0,0.2,0.64,0.21,32.44,125.0,0.11,0.62,0.21,32.63,0.995,32.54,94.8
185.0,1646.0,56.0,181.0,231.0,75.0,81.94,80.56,80.83,1.349,344.2125,85.92,61.6,544.0,599.0,354.0,345.0,,,,87.69,83.25,,,25.11,24.95,1.13,1.1,29.89,29.4,131.0,0.2,0.6,0.2,32.56,100.0,0.16,0.61,0.2,32.64,0.985,32.6,94.86
213.0,1632.0,96.0,180.0,299.0,79.0,81.86,81.64,80.3,1.332,318.48,77.59,69.28,485.0,499.0,342.0,398.0,,,,103.09,67.02,,,25.11,24.95,1.13,1.1,29.89,29.4,118.0,0.12,0.61,0.21,32.38,117.0,0.11,0.63,0.2,32.41,0.94,32.4,95.07
244.0,1603.0,110.0,197.0,276.0,79.0,82.59,82.34,80.49,1.852,319.54,78.25,78.82,282.0,354.0,364.0,386.0,,,,104.22,53.77,,,25.11,24.95,1.13,1.1,29.89,29.4,131.0,0.13,0.62,0.2,32.39,137.0,0.23500000000000001,0.59,0.21,32.4,1.0274999999999999,32.4,94.66499999999998
255.0,1588.0,106.0,212.0,305.0,78.0,82.5,82.27,80.45,1.817,319.53,78.19,89.41,384.0,437.0,405.0,409.0,1505.0,36.37,29.08,108.31,67.75,1238.0,1239.0,25.66,25.12,1.1,1.09,31.85,31.36,134.0,0.17,0.6,0.21,32.5,129.0,0.14,0.59,0.21,32.52,0.96,32.51,94.98
151.0,1613.0,64.0,228.0,184.0,75.0,81.37,80.75,79.64,1.106,324.75,76.0,62.36,285.0,693.0,430.0,336.0,1467.0,30.81,30.39,83.58,91.36,1237.0,1237.0,25.66,25.12,1.1,1.09,31.85,31.36,129.0,0.14,0.61,0.2,32.29,136.0,0.13,0.62,0.2,32.27,0.95,32.33,95.0
169.0,1655.0,80.0,242.0,219.0,75.0,82.18,81.64,80.87,0.77,324.66,83.78,64.03,503.0,635.0,406.0,360.0,1468.0,30.18,30.01,111.8,88.22,1239.0,1238.0,24.46,24.4,1.2,0.92,29.4,29.89,129.0,0.07,0.63,0.21,32.78,130.0,0.08,0.61,0.22,32.265,0.91,32.5,95.24
194.0,1644.0,91.0,198.0,270.0,77.0,82.04,81.77,80.6,1.169,325.08,80.57,47.34,499.0,541.0,326.0,346.0,1458.0,31.44,34.12,96.22,62.82,1218.5,1229.0,24.46,24.4,1.2,0.92,29.4,29.89,113.0,0.13,0.63,0.2,32.53,113.0,0.11,0.62,0.21,32.76,0.95,32.65,95.05
186.0,1656.0,91.0,202.0,268.0,77.0,82.28,81.78,80.94,0.843,325.83,81.37,57.92,496.0,576.0,341.0,340.0,1477.0,33.53,31.75,106.6,62.49,1218.5,1230.0,24.46,24.4,1.2,0.92,29.4,29.89,119.0,0.1,0.65,0.21,32.64,118.0,0.13,0.645,0.21,32.42,0.98,32.53,94.88
190.0,1659.0,88.0,243.0,266.0,76.0,82.93,81.78,81.54,0.701,338.66,82.83,80.22,472.0,584.0,391.0,320.0,1464.0,32.59,31.63,95.39,66.89,1232.0,1232.0,24.45,24.11,1.32,1.14,24.99,25.97,130.0,0.13,0.64,0.21,32.62,105.0,0.12,0.645,0.21,32.34,0.98,32.48,94.87
187.0,1645.0,87.0,201.0,241.0,75.0,82.18,81.78,80.68,1.101,344.2125,80.29,57.26,540.0,602.0,361.0,347.0,1493.0,35.66,29.68,104.48,68.8,1227.0,1228.0,24.45,24.11,1.32,1.14,24.99,25.97,113.0,0.07,0.6599999999999999,0.2,32.38,114.0,0.08,0.62,0.21,32.61,0.92,32.5,95.19
189.0,1650.0,91.0,221.0,278.0,74.0,82.26,81.78,80.92,0.864,322.94,79.95,60.14,418.0,504.0,361.0,353.0,1491.0,33.88,29.67,117.55,78.36,1241.0,1240.0,24.45,24.11,1.32,1.14,24.99,25.97,126.0,0.16,0.64,0.2,32.65,128.0,0.18,0.63,0.21,32.36,1.01,32.51,94.72
188.0,1652.0,91.0,197.0,254.0,75.0,82.79,81.78,81.13,0.656,326.17,82.88,59.94,530.0,573.0,347.0,345.0,1474.0,31.62,32.65,106.13,75.13,1240.0,1240.0,24.91,24.73,1.11,1.08,27.93,28.42,119.0,0.14,0.65,0.21,32.38,119.0,0.14,0.64,0.2,32.27,0.99,32.33,94.79
186.0,1644.0,88.0,206.0,278.0,75.0,82.34,81.78,80.91,0.875,324.85,76.64,68.99,362.0,457.0,365.0,334.0,1482.0,32.3,27.92,110.16,57.41,1241.0,1243.0,24.91,24.73,1.11,1.08,27.93,28.42,126.0,0.17,0.63,0.2,32.44,129.0,0.21,0.645,0.19,32.44,1.025,32.44,94.66499999999998
203.0,1649.0,91.0,254.0,309.0,74.0,82.09,81.78,80.66,1.119,319.49,76.35,83.58,309.0,454.0,420.0,397.0,1494.0,34.46,28.89,109.49,85.82,1240.0,1237.0,24.91,24.73,1.11,1.08,27.93,28.42,130.0,0.07,0.63,0.2,32.44,130.0,0.08,0.645,0.2,32.29,0.915,32.37,95.19
194.0,1639.0,91.0,224.0,295.0,74.0,82.55,81.78,81.11,0.67,321.74,78.64,75.03,424.0,508.0,402.0,390.0,1462.0,30.68,29.96,112.52,87.5,1240.0,1240.0,25.15,25.09,1.27,1.21,25.48,24.99,131.0,0.08,0.62,0.19,32.24,127.0,0.09,0.64,0.2,32.47,0.91,32.36,95.22
155.0,1655.0,70.0,209.0,233.0,73.0,82.92,81.78,81.16,0.624,326.91,81.97,80.29,501.0,655.0,380.0,303.0,1478.0,31.15,29.71,111.54,75.69,1242.0,1240.0,25.15,25.09,1.27,1.21,25.48,24.99,134.0,,,,,125.0,,,,,,,
153.0,1651.0,76.0,239.0,178.0,75.0,83.18,81.78,81.55,0.326,318.76,83.08,90.35,457.0,663.0,409.0,372.0,1474.0,28.81,28.11,109.21,88.35,1262.5,1265.0,25.15,25.09,1.27,1.21,25.48,24.99,139.0,0.1,0.58,0.21,32.26,132.0,,,,,,,
203.0,1624.0,91.0,252.0,346.0,78.0,82.36,81.78,81.18,0.6,318.11,78.1,89.95,279.0,402.0,438.0,437.0,1475.0,30.41,32.08,116.54,85.5,1254.0,1261.0,25.3,25.08,1.17,1.09,22.57,22.05,134.0,0.1,0.6599999999999999,0.21,32.35,133.0,0.11,0.645,0.2,32.43,0.965,32.39,94.94
192.0,1632.0,91.0,193.0,288.0,77.0,82.46,81.78,80.66,1.125,315.85,80.4,53.93,552.0,585.0,345.0,347.0,1462.0,31.72,26.74,114.5,68.31,1232.0,1232.0,25.3,25.08,1.17,1.09,22.57,22.05,122.0,0.08,0.6599999999999999,0.22,32.61,123.0,0.11,0.64,0.21,32.55,0.965,32.58,94.96
