D1,DS1,DpB,T1,T3,T4,P,M01,TS1,SF,YsynA,D2
225.0,1648.0,223.0,88.0,82.93,82.01,321.08,86.82,33.36,28.99,0.54,344.0
240.0,1656.0,245.0,88.0,82.55,81.61,318.71,87.59,34.56,31.61,0.57,365.0
244.0,1607.0,256.0,86.0,82.24,80.9,322.04,87.07,35.43,30.82,0.56,376.0
215.0,1653.0,243.0,87.0,82.5,81.45,316.95,90.29,32.7,32.34,0.54,363.0
239.0,1626.0,257.0,88.0,82.18,80.73,315.53,89.04,34.49,34.85,0.55,405.5
256.0,1615.0,266.0,89.0,82.0,80.66,314.89,87.05,35.78,29.52,0.56,385.0
239.0,1628.0,269.0,89.0,82.28,80.78,318.14,85.22,33.9,27.07,0.53,397.5
249.0,1642.0,238.0,88.0,82.65,81.6,318.1,89.57,33.34,31.18,0.56,378.5
220.0,1640.0,262.0,88.0,82.17,81.04,322.81,87.25,34.05,30.02,0.54,380.0
222.0,1647.0,232.0,90.0,82.58,81.53,317.08,87.72,34.59,31.48,0.57,377.0
244.0,1648.0,245.0,89.0,82.55,81.56,315.53,90.45,34.37,32.1,0.56,382.0
239.0,1624.0,242.0,90.0,82.33,81.38,314.82,91.53,33.14,33.09,0.59,394.5
257.0,1613.0,234.0,90.0,82.27,81.0,315.03,93.27,34.57,30.26,0.61,387.0
195.0,1611.0,200.0,89.0,81.1,80.39,316.91,86.98,34.74,33.38,0.62,327.0
170.0,1647.0,179.0,88.0,81.04,80.4,325.3,82.71,32.8,30.99,0.6,285.5
246.0,1621.0,278.0,89.0,82.36,81.17,323.14,83.03,34.79,29.46,0.64,421.5
235.0,1637.0,252.0,90.0,82.34,81.06,319.81,88.01,37.68,27.01,0.57,389.0
236.0,1627.0,294.0,89.0,82.31,80.84,323.43,86.38,35.38,33.44,0.58,414.0
177.0,1623.0,234.0,86.0,81.86,80.89,328.58,80.75,33.72,35.22,0.57,347.0
189.0,1632.0,235.0,89.0,82.16,80.8,323.52,83.35,36.94,25.07,0.57,360.5
253.0,1621.0,258.0,91.0,82.26,80.79,319.66,88.47,32.13,31.67,0.61,406.5
239.0,1627.0,270.0,92.0,82.21,80.77,319.59,89.36,36.24,31.6,0.65,391.5
211.0,1634.0,279.0,90.0,82.03,80.68,321.31,86.3,34.2,33.02,0.64,393.0
263.0,1629.0,272.0,90.0,81.51,80.13,323.12,84.25,33.47,29.89,0.62,398.5
254.0,1612.0,264.0,90.0,81.98,80.36,324.63,88.07,35.24,32.46,0.6,415.5
251.0,1599.0,231.0,90.0,82.36,80.89,324.79,93.28,33.45,31.97,0.58,370.5
195.0,1622.0,188.0,87.0,81.9,80.75,327.54,89.95,36.44,32.16,0.58,360.0
259.0,1601.0,250.0,90.0,82.42,81.02,325.26,99.93,32.81,30.26,0.57,381.5
254.0,1605.0,247.0,89.0,82.06,80.62,318.27,97.07,31.76,31.47,0.61,384.5
203.0,1630.0,270.0,88.0,81.9,80.71,325.62,90.92,35.84,30.86,0.59,371.0
169.0,1648.0,160.0,85.0,81.68,80.69,330.42,85.0,34.38,30.73,0.57,373.5
204.0,1631.0,203.0,89.0,82.3,80.83,326.53,85.74,32.08,30.38,0.56,400.0
240.0,1600.0,271.0,88.0,82.21,80.77,327.11,89.8,34.68,33.01,0.57,422.5
262.0,1600.0,272.0,89.0,82.06,80.57,322.52,89.8,32.22,31.36,0.58,410.5
223.0,1619.0,228.0,87.0,81.2,80.62,319.64,86.34,31.8,28.73,0.57,361.0
225.0,1613.0,255.0,84.0,82.26,80.69,323.77,87.38,35.43,32.7,0.6,373.0
211.0,1637.0,256.0,85.0,82.35,80.91,324.98,87.3,32.26,29.97,0.57,367.0
227.0,1633.0,262.0,86.0,82.3,80.85,323.64,89.04,34.51,30.44,0.59,365.5
237.0,1643.0,273.0,86.0,82.3,80.75,319.86,91.25,35.67,33.32,0.58,385.5
236.0,1617.0,252.0,85.0,82.02,80.44,318.3,88.23,34.79,34.73,0.6,404.0
256.0,1657.0,245.0,84.0,82.57,81.31,318.02,87.09,36.23,35.95,0.57,368.5
226.0,1633.0,238.0,84.0,82.77,81.4,317.49,88.41,32.53,32.46,0.59,379.0
211.0,1647.0,232.0,82.0,82.25,81.33,323.15,88.92,34.67,31.48,0.6,355.0
207.0,1653.0,221.0,83.0,82.39,81.47,323.6,89.05,34.4,31.54,0.61,346.0
193.0,1639.0,258.0,83.0,81.93,81.33,324.3,89.4,33.71,30.51,0.57,354.0
210.0,1666.0,263.0,83.0,81.98,81.4,323.09,90.5,34.2,32.98,0.58,368.5
233.0,1641.0,248.0,84.0,82.36,81.41,319.67,90.85,32.33,34.74,0.54,375.0
200.0,1645.0,241.0,82.0,82.17,81.71,326.35,90.04,34.17,31.97,0.54,344.0
203.0,1672.0,255.0,83.0,82.42,81.38,318.76,90.43,33.97,34.12,0.56,343.0
251.0,1665.0,230.0,84.0,82.67,81.52,316.95,89.85,34.43,34.55,0.545,367.0
185.0,1679.0,227.0,82.0,82.22,81.35,320.67,90.6,33.54,30.99,0.57,335.5
192.0,1663.0,254.0,82.0,82.06,81.43,324.56,90.03,33.3,31.84,0.58,353.5
186.0,1666.0,261.0,80.0,82.38,81.8,325.49,89.64,31.97,32.46,0.58,355.0
198.0,1655.0,259.0,83.0,82.41,81.82,323.51,89.5,32.18,31.79,0.59,327.0
