DS1,DpA,DpB,T1,T4,deltaT,P,M01,VA,TS1,YuntA
1648.0,247.0,160.0,85.0,80.69,0.995,330.42,85.0,422.0,34.38,0.19
1631.0,260.0,203.0,89.0,80.83,1.471,326.53,85.74,371.0,32.08,0.21
1600.0,258.0,271.0,88.0,80.77,1.436,327.11,89.8,416.0,34.68,0.2
1600.0,218.0,272.0,89.0,80.57,1.484,322.52,89.8,470.0,32.22,0.2
1619.0,221.0,228.0,87.0,80.62,1.174,319.64,86.34,422.0,31.8,0.21
1613.0,216.0,255.0,84.0,80.69,1.57,323.77,87.38,452.0,35.43,0.19
1637.0,220.0,256.0,85.0,80.91,1.434,324.98,87.3,478.0,32.26,0.2
1633.0,222.0,262.0,86.0,80.85,1.452,323.64,89.04,473.0,34.51,0.19
1643.0,230.0,273.0,86.0,80.75,1.545,319.86,91.25,448.0,35.67,0.2
1617.0,241.0,252.0,85.0,80.44,1.578,318.3,88.23,399.0,34.79,0.2
1657.0,239.0,245.0,84.0,81.31,1.26,318.02,87.09,406.0,36.23,0.2
1633.0,239.0,238.0,84.0,81.4,1.377,317.49,88.41,402.0,32.53,0.19
1647.0,222.0,232.0,82.0,81.33,0.927,323.15,88.92,385.0,34.67,0.19
1653.0,221.0,221.0,83.0,81.47,0.911,323.6,89.05,424.0,34.4,0.2
1639.0,218.0,258.0,83.0,81.33,0.604,324.3,89.4,410.0,33.71,0.2
1666.0,220.0,263.0,83.0,81.4,0.575,323.09,90.5,374.0,34.2,0.2
1641.0,227.0,248.0,84.0,81.41,0.948,319.67,90.85,381.0,32.33,0.23
1645.0,219.0,241.0,82.0,81.71,0.464,326.35,90.04,430.0,34.17,0.2
1672.0,225.0,255.0,83.0,81.38,1.041,318.76,90.43,417.0,33.97,0.2
1665.0,238.0,230.0,84.0,81.52,1.142,316.95,89.85,320.0,34.43,0.2275
1679.0,222.0,227.0,82.0,81.35,0.866,320.67,90.6,401.0,33.54,0.21
