D1,DS1,DpB,T1,T3,T4,P,M01,M02,TS1,YuntB
215.0,1653.0,243.0,87.0,82.5,81.45,316.95,90.29,49.29,32.7,0.21
239.0,1626.0,257.0,88.0,82.18,80.73,315.53,89.04,69.99,34.49,0.2
256.0,1615.0,266.0,89.0,82.0,80.66,314.89,87.05,60.42,35.78,0.2
239.0,1628.0,269.0,89.0,82.28,80.78,318.14,85.22,69.22,33.9,0.2
249.0,1642.0,238.0,88.0,82.65,81.6,318.1,89.57,67.82,33.34,0.2
220.0,1640.0,262.0,88.0,82.17,81.04,322.81,87.25,65.75,34.05,0.21
222.0,1647.0,232.0,90.0,82.58,81.53,317.08,87.72,63.5,34.59,0.23
244.0,1648.0,245.0,89.0,82.55,81.56,315.53,90.45,71.84,34.37,0.2
239.0,1624.0,242.0,90.0,82.33,81.38,314.82,91.53,72.92,33.14,0.2
257.0,1613.0,234.0,90.0,82.27,81.0,315.03,93.27,70.39,34.57,0.23
195.0,1611.0,200.0,89.0,81.1,80.39,316.91,86.98,50.0,34.74,0.21
170.0,1647.0,179.0,88.0,81.04,80.4,325.3,82.71,47.53,32.8,0.2
246.0,1621.0,278.0,89.0,82.36,81.17,323.14,83.03,91.29,34.79,0.23
235.0,1637.0,252.0,90.0,82.34,81.06,319.81,88.01,69.43,37.68,0.19
236.0,1627.0,294.0,89.0,82.31,80.84,323.43,86.38,91.41,35.38,0.2
177.0,1623.0,234.0,86.0,81.86,80.89,328.58,80.75,73.71,33.72,0.22
189.0,1632.0,235.0,89.0,82.16,80.8,323.52,83.35,88.32,36.94,0.22
253.0,1621.0,258.0,91.0,82.26,80.79,319.66,88.47,75.91,32.13,0.2
239.0,1627.0,270.0,92.0,82.21,80.77,319.59,89.36,71.87,36.24,0.21
211.0,1634.0,279.0,90.0,82.03,80.68,321.31,86.3,68.13,34.2,0.23
263.0,1629.0,272.0,90.0,81.51,80.13,323.12,84.25,69.0,33.47,0.22
254.0,1612.0,264.0,90.0,81.98,80.36,324.63,88.07,82.73,35.24,0.23
251.0,1599.0,231.0,90.0,82.36,80.89,324.79,93.28,61.21,33.45,0.2
195.0,1622.0,188.0,87.0,81.9,80.75,327.54,89.95,71.85,36.44,0.2
259.0,1601.0,250.0,90.0,82.42,81.02,325.26,99.93,65.25,32.81,0.2
254.0,1605.0,247.0,89.0,82.06,80.62,318.27,97.07,60.89,31.76,0.22
203.0,1630.0,270.0,88.0,81.9,80.71,325.62,90.92,62.73,35.84,0.2
169.0,1648.0,160.0,85.0,81.68,80.69,330.42,85.0,79.03,34.38,0.2
204.0,1631.0,203.0,89.0,82.3,80.83,326.53,85.74,68.41,32.08,0.19
240.0,1600.0,271.0,88.0,82.21,80.77,327.11,89.8,78.33,34.68,0.21
262.0,1600.0,272.0,89.0,82.06,80.57,322.52,89.8,77.14,32.22,0.21
223.0,1619.0,228.0,87.0,81.2,80.62,319.64,86.34,51.87,31.8,0.21
225.0,1613.0,255.0,84.0,82.26,80.69,323.77,87.38,74.82,35.43,0.21
211.0,1637.0,256.0,85.0,82.35,80.91,324.98,87.3,62.43,32.26,0.2
227.0,1633.0,262.0,86.0,82.3,80.85,323.64,89.04,60.91,34.51,0.2
237.0,1643.0,273.0,86.0,82.3,80.75,319.86,91.25,57.5,35.67,0.19
236.0,1617.0,252.0,85.0,82.02,80.44,318.3,88.23,67.67,34.79,0.19
256.0,1657.0,245.0,84.0,82.57,81.31,318.02,87.09,81.4,36.23,0.2
226.0,1633.0,238.0,84.0,82.77,81.4,317.49,88.41,80.44,32.53,0.2
211.0,1647.0,232.0,82.0,82.25,81.33,323.15,88.92,56.81,34.67,0.2
207.0,1653.0,221.0,83.0,82.39,81.47,323.6,89.05,59.83,34.4,0.21
193.0,1639.0,258.0,83.0,81.93,81.33,324.3,89.4,70.95,33.71,0.19
210.0,1666.0,263.0,83.0,81.98,81.4,323.09,90.5,76.84,34.2,0.21
233.0,1641.0,248.0,84.0,82.36,81.41,319.67,90.85,72.76,32.33,0.23
200.0,1645.0,241.0,82.0,82.17,81.71,326.35,90.04,66.24,34.17,0.19
203.0,1672.0,255.0,83.0,82.42,81.38,318.76,90.43,73.08,33.97,0.2
251.0,1665.0,230.0,84.0,82.67,81.52,316.95,89.85,88.83,34.43,0.21
185.0,1679.0,227.0,82.0,82.22,81.35,320.67,90.6,53.04,33.54,0.22
192.0,1663.0,254.0,82.0,82.06,81.43,324.56,90.03,72.68,33.3,0.21
186.0,1666.0,261.0,80.0,82.38,81.8,325.49,89.64,68.13,31.97,0.21
198.0,1655.0,259.0,83.0,82.41,81.82,323.51,89.5,74.58,32.18,0.2
225.0,1642.0,250.0,82.0,82.31,81.95,319.44,91.48,59.09,34.78,0.2
204.0,1652.0,261.0,81.0,82.44,81.82,321.7,90.8,54.05,33.82,0.2
188.0,1676.0,223.0,80.0,81.97,81.31,325.41,88.38,42.71,34.58,0.22
