DpB,T1,T2,T4,M01,M02,VA,Ds,YseB
257.0,88.0,82.41,80.73,89.04,69.99,331.0,1500.0,0.12
266.0,89.0,82.26,80.66,87.05,60.42,406.0,1506.0,0.15
269.0,89.0,82.49,80.78,85.22,69.22,443.0,1490.0,0.11
238.0,88.0,82.8,81.6,89.57,67.82,387.0,1480.0,0.1
262.0,88.0,82.32,81.04,87.25,65.75,427.0,1493.0,0.14
232.0,90.0,82.78,81.53,87.72,63.5,430.0,1493.0,0.13
245.0,89.0,82.73,81.56,90.45,71.84,429.0,1495.0,0.1
242.0,90.0,82.52,81.38,91.53,72.92,403.0,1493.0,0.11
234.0,90.0,82.48,81.0,93.27,70.39,450.0,1494.0,0.08
200.0,89.0,81.35,80.39,86.98,50.0,431.0,1500.0,0.12
179.0,88.0,81.42,80.4,82.71,47.53,507.0,1475.0,0.11
278.0,89.0,82.57,81.17,83.03,91.29,311.0,1495.0,0.1
252.0,90.0,82.55,81.06,88.01,69.43,403.0,1520.0,0.1
294.0,89.0,82.5,80.84,86.38,91.41,453.0,1496.0,0.11
234.0,86.0,82.12,80.89,80.75,73.71,367.0,1487.0,0.13
235.0,89.0,82.41,80.8,83.35,88.32,367.0,1514.0,0.13
258.0,91.0,82.51,80.79,88.47,75.91,416.0,1477.0,0.16
270.0,92.0,82.45,80.77,89.36,71.87,403.0,1511.0,0.11
279.0,90.0,82.25,80.68,86.3,68.13,454.0,1491.0,0.11
272.0,90.0,81.81,80.13,84.25,69.0,357.0,1481.0,0.12
264.0,90.0,82.25,80.36,88.07,82.73,374.0,1498.0,0.12
231.0,90.0,82.59,80.89,93.28,61.21,453.0,1483.0,0.11
188.0,87.0,82.11,80.75,89.95,71.85,492.0,1506.0,0.12
250.0,90.0,82.65,81.02,99.93,65.25,452.0,1482.0,0.09
247.0,89.0,82.28,80.62,97.07,60.89,427.0,1474.0,0.12
270.0,88.0,82.16,80.71,90.92,62.73,525.0,1508.0,0.12
160.0,85.0,81.96,80.69,85.0,79.03,422.0,1490.0,0.14
203.0,89.0,82.5,80.83,85.74,68.41,371.0,1480.0,0.13
271.0,88.0,82.4,80.77,89.8,78.33,416.0,1496.0,0.12
272.0,89.0,82.29,80.57,89.8,77.14,470.0,1476.0,0.11
228.0,87.0,82.29,80.62,86.34,51.87,422.0,1473.0,0.11
255.0,84.0,82.52,80.69,87.38,74.82,452.0,1506.0,0.14
256.0,85.0,82.58,80.91,87.3,62.43,478.0,1479.0,0.15
262.0,86.0,82.56,80.85,89.04,60.91,473.0,1496.0,0.17
273.0,86.0,82.5,80.75,91.25,57.5,448.0,1507.0,0.12
252.0,85.0,82.27,80.44,88.23,67.67,399.0,1499.0,0.13
245.0,84.0,82.82,81.31,87.09,81.4,406.0,1504.0,0.15
238.0,84.0,82.97,81.4,88.41,80.44,402.0,1483.0,0.15
232.0,82.0,82.47,81.33,88.92,56.81,385.0,1493.0,0.13
221.0,83.0,82.62,81.47,89.05,59.83,424.0,1490.0,0.15
258.0,83.0,82.21,81.33,89.4,70.95,410.0,1487.0,0.13
263.0,83.0,82.26,81.4,90.5,76.84,374.0,1486.0,0.11
248.0,84.0,82.61,81.41,90.85,72.76,381.0,1476.0,0.13
241.0,82.0,82.45,81.71,90.04,66.24,430.0,1490.0,0.14
255.0,83.0,82.63,81.38,90.43,73.08,417.0,1493.0,0.13
230.0,84.0,82.86,81.52,89.85,88.83,320.0,1498.0,0.16
227.0,82.0,82.42,81.35,90.6,53.04,401.0,1494.0,0.17
254.0,82.0,82.33,81.43,90.03,72.68,365.0,1486.0,0.13
